iter	Logloss
0	0.6573372396
1	0.6310828654
2	0.6080729675
3	0.582016449
4	0.5616524251
5	0.539969635
6	0.5167316691
7	0.4979790243
8	0.4809751383
9	0.4608407593
10	0.4446922811
11	0.4343904622
12	0.4173654683
13	0.4052059428
14	0.393870697
15	0.3760679626
16	0.3644964091
17	0.3540877787
18	0.3421812439
19	0.3327703094
20	0.3252481588
21	0.3147771708
22	0.3047421519
23	0.2933257548
24	0.2860294596
25	0.2799781036
26	0.273271637
27	0.2640643819
28	0.2581096903
29	0.2486103821
30	0.2406966654
31	0.2326765442
32	0.2284361013
33	0.2231465149
34	0.217599589
35	0.213219223
36	0.2088196818
37	0.2027828217
38	0.1972466532
39	0.193639679
40	0.1888364029
41	0.1858757401
42	0.1812731806
43	0.1767127101
44	0.1737446976
45	0.1711062495
46	0.1667876434
47	0.1633883921
48	0.1601434326
49	0.156874822
50	0.1542617035
51	0.1513466009
52	0.1474089686
53	0.143706487
54	0.1419620005
55	0.138259023
56	0.1348925018
57	0.1325435893
58	0.1298213323
59	0.1276060994
60	0.1237543996
61	0.1209179306
62	0.1189957937
63	0.115642573
64	0.112219162
65	0.1102544657
66	0.1089998118
67	0.1056788063
68	0.103370107
69	0.1011847305
70	0.0992596372
71	0.09750905991
72	0.09569770813
73	0.09370040258
74	0.09202176412
75	0.08983382543
76	0.08782569249
77	0.08668003082
78	0.08537515004
79	0.08357533137
80	0.08209873199
81	0.08085407257
82	0.07896748861
83	0.07767238617
84	0.07580703735
85	0.07394252141
86	0.07205876668
87	0.07074475606
88	0.06909022013
89	0.06805233002
90	0.06651046753
91	0.06481440226
92	0.06363316854
93	0.06265272776
94	0.06167151133
95	0.06036858241
96	0.05891400019
97	0.05790693283
98	0.05676390966
99	0.05553543091
100	0.05421518326
101	0.05306284587
102	0.05196894328
103	0.05098054886
104	0.05009901047
105	0.04913265864
106	0.04827626228
107	0.04754416784
108	0.04654143016
109	0.04565538406
110	0.04502584457
111	0.04432065328
112	0.04352700233
113	0.042821153
114	0.04230559031
115	0.04168167114
116	0.04091162046
117	0.04025550207
118	0.03957626979
119	0.03897995631
120	0.03849339803
121	0.0379753685
122	0.03728515625
123	0.03674054464
124	0.03645218531
125	0.03585390727
126	0.03546223005
127	0.03514164925
128	0.03456022263
129	0.03394051234
130	0.03342684428
131	0.03305157026
132	0.03253430049
133	0.03206606865
134	0.03179547628
135	0.03145184199
136	0.03099703153
137	0.03052071889
138	0.03012867292
139	0.02975954692
140	0.02943061829
141	0.02908412933
142	0.02878709475
143	0.02852224986
144	0.0281987826
145	0.02778439204
146	0.0273898538
147	0.02705044111
148	0.02669949214
149	0.02635797977
150	0.02594033877
151	0.02566282908
152	0.02539502621
153	0.02516955535
154	0.02483249823
155	0.02457454999
156	0.02435669263
157	0.02409717401
158	0.02378951867
159	0.02354763349
160	0.02333723704
161	0.02309446653
162	0.02280117035
163	0.02258569717
164	0.02236531417
165	0.02212844213
166	0.02196277142
167	0.02172831217
168	0.02150652409
169	0.0212322553
170	0.02103284359
171	0.02081620216
172	0.02057723045
173	0.02037843386
174	0.02016595364
175	0.01994180361
176	0.01974336783
177	0.01951937358
178	0.01936005592
179	0.01914101919
180	0.01900146325
181	0.01883518219
182	0.01863968531
183	0.01844960848
184	0.01831844966
185	0.01813090801
186	0.01795970281
187	0.017789615
188	0.01767164548
189	0.01751663844
190	0.01736548583
191	0.01716829618
192	0.01703255018
193	0.01691690445
194	0.01677571456
195	0.01665406863
196	0.01651875655
197	0.01635103385
198	0.01617623806
199	0.01604397615
200	0.0159053421
201	0.01580467542
202	0.01567804019
203	0.01554195722
204	0.01543536504
205	0.01531104247
206	0.01516480128
207	0.01505590916
208	0.01492609978
209	0.01480623404
210	0.01469801426
211	0.01453788757
212	0.01441877365
213	0.0143181483
214	0.01418065389
215	0.01402596315
216	0.0139402469
217	0.01385481358
218	0.01377197742
219	0.01366316319
220	0.01356339296
221	0.01342844645
222	0.01334018866
223	0.01324627717
224	0.01315912882
225	0.01306298097
226	0.01295893987
227	0.01290155729
228	0.01279878457
229	0.01270552317
230	0.0126343902
231	0.01253214121
232	0.01244964679
233	0.01235239426
234	0.01225820144
235	0.01216900984
236	0.0120928812
237	0.01202302615
238	0.01196888288
239	0.0119183588
240	0.01182114283
241	0.01174944639
242	0.01169392983
243	0.01160210371
244	0.0115395236
245	0.01146069845
246	0.01140888055
247	0.01132013083
248	0.01124775807
249	0.01115013282
250	0.01108611743
251	0.01102939606
252	0.01096117814
253	0.01088239988
254	0.010819362
255	0.01074498494
256	0.01065241178
257	0.01059137742
258	0.01052197933
259	0.0104619503
260	0.01041433811
261	0.01035496791
262	0.01028896252
263	0.01022174756
264	0.01016030788
265	0.01011091868
266	0.01006452401
267	0.01000355959
268	0.009931821028
269	0.009884492556
270	0.009841777484
271	0.009798177083
272	0.009747852484
273	0.009686460495
274	0.009632380803
275	0.009577357769
276	0.00954287529
277	0.009492642085
278	0.00943028609
279	0.009385464986
280	0.009319093227
281	0.009258216222
282	0.009205965996
283	0.009152405262
284	0.00910290877
285	0.009054875374
286	0.009020881653
287	0.008961896896
288	0.008913861911
289	0.008867013454
290	0.008811583519
291	0.00877654473
292	0.008721959591
293	0.008677111467
294	0.008633839289
295	0.008599554698
296	0.008567770322
297	0.008511168162
298	0.008457830747
299	0.008409264882
